beautifulszewan,Coffee or Pizza,40.73754188*-73.87704937,0
maragogipe11,Coffee or Pizza,40.70880988*-73.83046216,0
AdamNGreenwald,Coffee or Pizza,40.74787108*-73.9892212,0
TomasSemanas,Coffee or Pizza,40.72012258*-74.04284426,0
ShaunaKCohen,Coffee or Pizza,40.86073539*-73.89057772,0
SeanSable,Coffee or Pizza,40.75866519*-73.97882192,0
MarkSun1962,Coffee or Pizza,41.01038705*-73.8432072,0
BigRedShops,Coffee or Pizza,40.979151*-74.122853,0
shikixface,Coffee or Pizza,40.73678126*-73.98684525,0
shikixface,Coffee or Pizza,40.73652118*-73.99086253,0
XZChick,Coffee or Pizza,40.55669418*-74.29935155,0
Kiuberis,Coffee or Pizza,40.81009017*-73.94326687,0
LiteDog_,Coffee or Pizza,40.66304587*-74.19807305,0
LaorenZa,Coffee or Pizza,40.73678126*-73.98684525,0
number0,Coffee or Pizza,40.74628*-74.00616,0
agolod13,Coffee or Pizza,40.75610804*-73.98283363,0
harlequinfay666,Coffee or Pizza,40.7458698*-73.98818244,0
EugeneMinson,Coffee or Pizza,40.759445*-74.415939,0
madikarizma,Coffee or Pizza,40.75093077*-73.98313522,0
lauretanope,Coffee or Pizza,40.73493358*-74.0021199,0
4Mujju,Coffee or Pizza,40.752633*-73.992905,0
Trigonis,Coffee or Pizza,40.72075399*-74.03930068,0
Skipfil,Coffee or Pizza,40.762176*-73.987472,0
MouseBrat,Coffee or Pizza,40.72833809*-73.99526954,0
Chef_Turok,Coffee or Pizza,40.73047558*-74.00197848,0
voudonchilde,Coffee or Pizza,40.80451714*-73.96641322,0
lightbourne,Coffee or Pizza,40.7335864*-73.98738472,0
LibbTech,Coffee or Pizza,40.75942453*-73.98690838,0
rikipooh,Coffee or Pizza,40.76334189*-73.97793807,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
santosnoel,Coffee or Pizza,40.76370154*-73.87853661,0
JasonNiu,Coffee or Pizza,40.70507899*-73.93364404,0
lightbourne,Coffee or Pizza,40.73097252*-73.98301728,0
brandon_solis,Coffee or Pizza,40.69920603*-73.91047807,0
thejessicadowd,Coffee or Pizza,40.74638612*-74.03018873,0
smcdoyle,Coffee or Pizza,40.71735293*-73.96039224,0
simonkchan,Coffee or Pizza,40.720144*-73.999198,0
AngieVuyst,Coffee or Pizza,40.80806454*-73.93952512,0
zyneezy,Coffee or Pizza,40.74129507*-73.9939443,0
curiousreds,Coffee or Pizza,40.71735293*-73.96039224,0
sunaina31,Coffee or Pizza,40.75091995*-73.98771759,0
JoanneWarner,Coffee or Pizza,40.71278247*-74.00846297,0
ervii,Coffee or Pizza,40.70507899*-73.93364404,0
jordzz00,Coffee or Pizza,40.78603307*-73.50203276,0
Dannycullens,Coffee or Pizza,40.70263748*-73.99361145,0
PistBloke,Coffee or Pizza,40.72156713*-73.9955914,0
danicompitello,Coffee or Pizza,40.71779411*-73.9590168,0
TomasSemanas,Coffee or Pizza,40.72012258*-74.04284426,0
srubenfeld,Coffee or Pizza,40.76038354*-73.92203496,0
ggyesi,Coffee or Pizza,40.72156713*-73.9955914,0
n_oah,Coffee or Pizza,40.87833332*-73.52869837,0
Guppy64,Coffee or Pizza,40.78357692*-73.97939585,0
EricLang_,Coffee or Pizza,40.98530006*-74.02563144,0
JustinBartonNY,Coffee or Pizza,40.74628633*-73.99768598,0
whatsarahknows,Coffee or Pizza,40.73465857*-74.00061843,0
superdupernyc,Coffee or Pizza,40.75320013*-73.92612822,0
LibbTech,Coffee or Pizza,40.72146928*-73.98853826,0
octane31,Coffee or Pizza,40.743982*-74.006678,0
NishaBalwani,Coffee or Pizza,40.72956614*-73.98443485,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
flor_r,Coffee or Pizza,40.7335864*-73.98738472,0
LOTUS_SOCIETY,Coffee or Pizza,40.85079746*-73.93755215,0
Kwass,Coffee or Pizza,40.62372783*-73.964588,0
eyoMoMO,Coffee or Pizza,40.76365639*-73.96720529,0
EDiiC,Coffee or Pizza,40.71086218*-73.96769315,0
melissairl,Coffee or Pizza,40.74289894*-73.47977364,0
JimMurtha,Coffee or Pizza,40.92310831*-74.34421312,0
viastillero,Coffee or Pizza,41.096879*-74.015135,0
kyann25,Coffee or Pizza,40.70884861*-73.83048534,0
Beltwits,Coffee or Pizza,40.7825426*-74.0053614,0
stephjohnson326,Coffee or Pizza,40.70507899*-73.93364404,0
kme243,Coffee or Pizza,40.74660298*-73.9822425,0
TheChiefiest,Coffee or Pizza,40.61351472*-74.03332576,0
AlanJBayoneto,Coffee or Pizza,40.743982*-74.006678,0
ohwhat,Coffee or Pizza,40.70507899*-73.93364404,0
soohei,Coffee or Pizza,40.71779411*-73.9590168,0
joakimjansson,Coffee or Pizza,40.73207773*-73.98851497,0
joshuavjohn,Coffee or Pizza,40.70507899*-73.93364404,0
LaorenZa,Coffee or Pizza,40.73678126*-73.98684525,0
emartinez02,Coffee or Pizza,40.62523692*-73.96149428,0
robhitt,Coffee or Pizza,40.71086218*-73.96769315,0
MissDeborahAnn,Coffee or Pizza,40.81815181*-74.15447152,0
djerickinthemix,Coffee or Pizza,40.85720814*-73.90022958,0
GregHertzke,Coffee or Pizza,40.7394648*-74.00265604,0
tloinc_forever,Coffee or Pizza,40.75153762*-73.99005908,0
boardinggroup1,Coffee or Pizza,40.76249994*-73.99698012,0
TonyAldo,Coffee or Pizza,40.77039196*-73.90413957,0
AliC314,Coffee or Pizza,40.81706932*-74.21095669,0
prinzezzcharmin,Coffee or Pizza,40.78759206*-73.97501675,0
NYC_Fanatic,Coffee or Pizza,40.85877792*-73.8847611,0
ggyesi,Coffee or Pizza,40.74626696*-73.99367458,0
tmurray57,Coffee or Pizza,40.7443091*-73.94186034,0
omgisaginger,Coffee or Pizza,40.68652842*-73.70298386,0
raultorres2000,Coffee or Pizza,40.88454997*-74.24480498,0
elisefineza,Coffee or Pizza,40.83047438*-74.20512401,0
lamboap,Coffee or Pizza,40.746268*-73.952989,0
DougStrouth,Coffee or Pizza,40.75819478*-73.97951637,0
laurenkaplan,Coffee or Pizza,40.7342453*-74.00753784,0
kellibrown24,Coffee or Pizza,40.77210729*-73.95429179,0
kibbe,Coffee or Pizza,40.71735293*-73.96039224,0
agent3893,Coffee or Pizza,40.76357833*-73.98267867,0
svmcl,Coffee or Pizza,40.74129507*-73.9939443,0
i_am_MANDZ,Coffee or Pizza,40.7342453*-74.00753784,0
arturo7214,Coffee or Pizza,40.71424858*-73.95375967,0
gyabes,Coffee or Pizza,40.86565942*-73.82941246,0
EJay91026,Coffee or Pizza,40.671978*-73.977465,0
greateatswpetes,Coffee or Pizza,40.74787108*-73.9892212,0
iric,Coffee or Pizza,40.73995751*-73.99083853,0
PoxyAmorita,Coffee or Pizza,40.740281*-73.986155,0
JackStar2482,Coffee or Pizza,40.75280621*-73.97717536,0
